rank	title	composer	category	year	stars
743	Rapsodie espagnole	Maurice Ravel	Unsorted Orchestral	1908	4
744	Concerto Grosso No. 1	Alfred Schnittke	Unsorted Orchestral	1977	4
745	Fantaisie in F Minor, Op. 49	Frédéric Chopin	Piano Sonata	1841	4
746	Violin Sonata in E Minor, Op. 82	Edward Elgar	Violin Sonata	1918	4
747	Wesendonck Lieder (Fünf Gedichte für eine Frauenstimme), WWV 91	Richard Wagner	Lieder / Song	1858	4
748	Valses Poéticos	Enrique Granados	Piano Sonata	1887	4
749	Des canyons aux étoiles...	Olivier Messiaen	Unsorted Orchestral	1974	4
750	Fantasía para un gentilhombre	Joaquín Rodrigo	Unsorted Orchestral	1954	4
751	Viola Sonata, Op. 147	Dmitri Shostakovich	Unsorted Chamber	1975	4
752	Gran Vals	Francisco Tárrega	Unsorted Instrument Sonatas		4
753	Parade	Erik Satie	Ballet	1917	4
754	Socrate	Erik Satie	Voice and Orchestra	1918	4
755	Hungarian Sketches, Sz. 97	Béla Bartók	Unsorted Orchestral	1931	4
756	Danse sacrée et danse profane, L. 103	Claude Debussy	Unsorted Orchestral	1904	4
757	Embryons desséchés	Erik Satie	Piano Sonata	1913	4
758	Diversions for Piano Left Hand and Orchestra, Op. 21	Benjamin Britten	Piano Concerto	1940	4
759	Einstein on the Beach	Philip Glass	Opera	1975	4
760	Requiem	Alfred Schnittke	Mass / Requiem	1975	4
761	Für Alina	Arvo Pärt	Piano Sonata	1976	4
762	String Quartet No. 3 in D Major, Op. 44 No. 1	Felix Mendelssohn	String Quartet	1838	4
763	Simon Boccanegra	Giuseppe Verdi	Opera	1857	4
764	Cuban Overture	George Gershwin	Unsorted Orchestral	1932	4
765	Suite No. 1 (Fantaisie-Tableaux), Op. 5	Sergei Rachmaninoff	Piano duet / Piano four hands	1893	4
766	Piano Trio No. 2 in E Minor, Op. 92	Camille Saint-Saëns	Piano Trio	1892	4
767	Symphony No. 5 in B-flat Major (The Heroic), Op. 55	Alexander Glazunov	Symphony	1895	4
768	Violin Concerto	György Ligeti	Violin Concerto	1990	4
769	The Pirates of Penzance	Arthur Sullivan	Opera	1879	4
770	Prelude in C-sharp Minor	Frédéric Chopin	Piano Sonata	1841	4
771	Kullervo, Op. 7	Jean Sibelius	Unsorted Orchestral	1892	4
772	Lieutenant Kijé, Op. 60	Sergei Prokofiev	Unsorted Orchestral	1934	4
773	Piano Quintet in C Major, Sz. 23	Béla Bartók	Piano Quintet	1904	4
774	Petite Suite, L. 65	Claude Debussy	Piano duet / Piano four hands	1889	4
775	Forgotten Melodies, Op. 38-39	Nikolai Medtner	Piano Sonata	1922	4
776	Stiffelio	Giuseppe Verdi	Opera	1850	4
777	Piano Sonata, Sz. 80	Béla Bartók	Piano Sonata	1926	4
778	String Trios, Op. 9	Ludwig van Beethoven	String Trio	1798	4
779	Piano Trio in B-flat Major (Gassenhauer), Op. 11	Ludwig van Beethoven	Piano Trio	1797	4
780	A Sea Symphony (Symphony No. 1)	Ralph Vaughan Williams	Symphony	1909	4
781	String Quartet No. 3 (Mishima)	Philip Glass	String Quartet	1985	4
782	Oiseaux Exotiques	Olivier Messiaen	Unsorted Orchestral	1956	4
783	Piano Concerto No. 2 in E-flat Major	Mily Balakirev	Piano Concerto	1862	4
784	Concerto for Violin and Orchestra	Jennifer Higdon	Violin Concerto	2008	4
785	Symphony No. 4 in E-flat Major, Op. 48	Alexander Glazunov	Symphony	1893	4
786	Nightride and Sunrise, Op. 55	Jean Sibelius	Symphonic Poem	1908	4
787	String Quartet No. 4 in C Minor, Op. 18 No. 4	Ludwig van Beethoven	String Quartet	1800	4
788	Variations on a Theme of Paganini	Witold Lutosławski	Piano Concerto	1941	4
789	Symphony No. 5	Peter Maxwell Davies	Symphony	1994	4
790	Symphony No. 5 (Reformation), Op. 107	Felix Mendelssohn	Symphony	1830	4
791	Symphony No. 4 (The Inextinguishable), Op. 29, FS 76	Carl Nielsen	Symphony	1916	4
792	Manfred Symphony in B Minor, Op. 58	Pyotr Ilyich Tchaikovsky	Symphony	1885	4
793	Symphony No. 3 in D Minor, WAB 103	Anton Bruckner	Symphony	1873	4
794	Symphony No. 1 in E Minor, Op. 39	Jean Sibelius	Symphony	1899	4
795	Symphony No. 6 in D Major, Op. 60, B. 112	Antonín Dvořák	Symphony	1880	4
796	Lieder (Five Songs), Op. 49	Johannes Brahms	Lieder / Song	1868	4
797	Symphony No. 44 in E Minor (Trauer), Hob. I/44	Joseph Haydn	Symphony	1772	4
798	Préludes (Book 2), L. 123	Claude Debussy	Piano Sonata	1913	3
799	String Quartet No. 15 in G Major, D. 887	Franz Schubert	String Quartet	1826	3
800	Lyric Suite	Alban Berg	String Quartet	1926	3
801	Souvenir de Porto Rico, Op. 31	Louis Moreau Gottschalk	Piano Sonata	1857	3
802	Piano Quintet in C Major	Nikolai Medtner	Piano Quintet	1948	3
803	Cello Sonata, L. 135	Claude Debussy	Cello Sonata	1915	3
804	Der Rosenkavalier (The Knight of the Rose), Op. 59	Richard Strauss	Opera	1911	3
805	Bamboula, Op. 2	Louis Moreau Gottschalk	Piano Sonata	1845	3
806	Les Indes galantes	Jean-Philippe Rameau	Ballet	1735	3
807	String Quartet in C Minor, Op. 51 No. 1	Johannes Brahms	String Quartet	1873	3
808	Violin Romance No. 1 in G Major, Op. 40	Ludwig van Beethoven	Violin Concerto	1802	3
809	Piano Quintet in G Minor, Op. 30	Sergei Taneyev	Piano Quintet	1911	3
810	Violin Concerto, Op. 2	Franz Berwald	Violin Concerto	1820	3
811	String Quartet No. 1 in G Minor, Op. 27	Edvard Grieg	String Quartet	1878	3
812	Davidsbündlertänze (Dances of the League of David), Op. 6	Robert Schumann	Piano Sonata	1837	3
813	Missa l'Homme Armé	Guillaume DuFay	Mass / Requiem		3
814	Music for the Funeral of Queen Mary, Z. 860	Henry Purcell	Choral orchestral	1695	3
815	Organ Symphony No. 5 in F Minor, Op. 42 No. 1	Charles-Marie Widor	Unsorted Orchestral	1879	3
816	Qui habitat in adiutorio Altissimi	Josquin des Prez	Chant		3
817	Viola Concerto in G Major, TWV 51:G9	Georg Philipp Telemann	Viola Concerto		3
818	Symphony No. 1 (La nuit des tropiques)	Louis Moreau Gottschalk	Symphony	1859	3
819	Lamentations of Jeremiah (Lamentationum)	Giovanni Pierluigi da Palestrina	Chant		3
820	Harmonia artificiosa-ariosa	Heinrich Ignaz Franz von Biber	Unsorted Orchestral		3
821	Missa Salisburgensis	Heinrich Ignaz Franz von Biber	Mass / Requiem	1682	3
822	Violin Concerto in D Major	Igor Stravinsky	Violin Concerto	1931	3
823	Piano Quartet No. 1 in G Minor, Op. 25	Johannes Brahms	Piano Quartet	1861	3
824	Violin Sonata in G Minor, L. 140	Claude Debussy	Violin Sonata	1917	3
825	String Quartet No. 5, Sz. 102, BB 110	Béla Bartók	String Quartet	1934	3
826	Guitar Quintet No. 7 in E Minor, G. 451	Luigi Boccherini	String Quintet	1799	3
827	Clarinet Concerto, Op. 57	Carl Nielsen	Wind Concerto	1928	3
828	Souvenir de Florence, Op. 70	Pyotr Ilyich Tchaikovsky	Sextet	1890	3
829	Passacaglia in D Minor, BuxWV 161	Dieterich Buxtehude	Organ		3
830	Hexachordum Apollinis	Johann Pachelbel	Organ		3
831	O Magnum Mysterium	Tomas Luis de Victoria	Chant		3
832	Officium Defunctorum	Tomas Luis de Victoria	Mass / Requiem	1603	3
833	Tafelmusik	Georg Philipp Telemann	Unsorted Chamber		3
834	Salve Regina in F Major	Nicola Porpora	Choral orchestral		3
835	Morgenblätter, Op. 279	Johann Strauss II	Unsorted Orchestral	1863	3
836	Sinfonia Concertante for Violin, Viola and Orchestra in E-flat Major, K. 364	Wolfgang Amadeus Mozart	Unsorted Orchestral	1779	3
837	Cello Sonata in D Minor, Op. 40	Dmitri Shostakovich	Cello Sonata	1934	3
838	String Quartet No. 6, Sz. 114	Béla Bartók	String Quartet	1939	3
839	Lulu	Alban Berg	Opera	1935	3
840	Symphony No. 3 in C Minor (The Divine Poem), Op. 43	Alexander Scriabin	Symphony	1904	3
841	Flute Concerto in D Minor, H. 484	Carl Philipp Emanuel Bach	Wind Concerto	1747	3
842	Sospiri	Edward Elgar	Unsorted Orchestral	1914	3
843	Symphony No. 102 in B-flat Major, Hoboken I/102	Joseph Haydn	Symphony	1794	3
844	La lugubre gondola, S. 200	Franz Liszt	Piano Sonata	1882	3
845	An die Musik, D. 547	Franz Schubert	Lieder / Song	1817	3
846	Piano Sonata, Hob. XVI/52	Joseph Haydn	Piano Sonata	1794	3
847	Beata Viscera	Pérotin	Chant		3
848	Java Suite	Leopold Godowsky	Piano Sonata	1925	3
849	Cello Sonata No. 1, H. 277	Bohuslav Martinů	Cello Sonata	1939	3
850	Piano Trio No. 3 in C Minor, Op. 101	Johannes Brahms	Piano Trio	1886	3
851	Symphony No. 3 (Symphonie Liturgique)	Arthur Honegger	Symphony	1946	3
852	Cello Sonata in C Major, Op. 119	Sergei Prokofiev	Cello Sonata	1949	3
853	Till Eulenspiegels lustige Streiche (Till Eulenspiegel's Merry Pranks), Op. 28	Richard Strauss	Symphonic Poem	1895	3
854	Album for the Young (Album für die Jugend), Op. 68	Robert Schumann	Piano Sonata	1848	3
855	Harpsichord conceto No. 7 in G Minor, BWV 1058	Johann Sebastian Bach	Harpsichord conceto	1738	3
856	War Requiem, Op. 66	Benjamin Britten	Mass / Requiem	1962	3
857	The Chairman Dances	John Adams	Unsorted Orchestral	1985	3
858	Liturgy of St. John Chrysostom, Op. 41	Pyotr Ilyich Tchaikovsky	Chant	1878	3
859	String Quartets, Op. 33 (Russian)	Joseph Haydn	String Quartet	1781	3
860	The Second Booke of Songs	John Dowland	Lieder / Song		3
861	Missa Votiva, ZWV 18	Jan Dismas Zelenka	Mass / Requiem	1739	3
862	Toccatas	Alessandro Scarlatti	Piano Sonata		3
863	String Quartet No. 1 in E Minor (From My Life), JB 1:105	Bedřich Smetana	String Quartet	1876	3
864	L'incoronazione di Poppea (The Coronation of Poppaea), SV 308	Claudio Monteverdi	Opera	1643	3
865	Erwartung, Op. 17	Arnold Schoenberg	Opera	1909	3
866	Cinderella, Op. 87	Sergei Prokofiev	Ballet	1944	3
867	Metastaseis	Iannis Xenakis	Unsorted Orchestral	1954	3
868	Vingt regards sur l'enfant-Jésus	Olivier Messiaen	Piano Sonata	1944	3
869	Clarinet Concerto, Op. 31	Gerald Finzi	Wind Concerto	1949	3
870	Trumpet Concerto, TWV 51:D7	Georg Philipp Telemann	Wind Concerto	1714	3
871	Deuxième Symphonie in C-sharp Minor	Marcel Dupré	Organ	1929	3
872	Dante Symphony (A Symphony to Dante's Divine Comedy), S. 109	Franz Liszt	Symphony	1856	3
873	Piano Sonata No. 1 in F Minor, Op. 6	Alexander Scriabin	Piano Sonata	1892	3
874	Cello Sonata No. 1	Alfred Schnittke	Cello Sonata	1978	3
875	Sinfonia	Luciano Berio	Symphony	1969	3
876	String Quartet No. 6 in F Minor, Op. 80	Felix Mendelssohn	String Quartet	1847	3
877	String Quartet No. 3, Sz. 85	Béla Bartók	String Quartet	1927	3
878	Il trovatore	Giuseppe Verdi	Opera	1853	3
879	Faust	Charles Gounod	Opera	1859	3
880	Bassoon Concerto in B-flat Major, K. 191/186e	Wolfgang Amadeus Mozart	Wind Concerto	1774	3
881	Trombone Concerto	Nikolai Rimsky-Korsakov	Wind Concerto	1877	3
882	Violin Concerto No. 2 in D Minor, Op. 2	Louis Spohr	Violin Concerto	1804	3
883	Fantasia and Fugue in A Minor, BWV 904	Johann Sebastian Bach	Piano Sonata	1725	3
884	Chaconne in G Minor, Z. 730	Henry Purcell	Unsorted Orchestral		3
885	Passacaglia	Leopold Godowsky	Piano Sonata	1927	3
886	Different Trains	Steve Reich	String Quartet	1988	3
887	Symphony No. 3 in A Minor, Op. 44	Sergei Rachmaninoff	Symphony	1936	3
888	String Quartet No. 13 in B-flat Minor, Op. 138	Dmitri Shostakovich	String Quartet	1970	3
889	Six Pieces for Piano, Op. 118	Johannes Brahms	Piano Sonata	1893	3
890	Ariodante, HWV 33	George Frideric Handel	Opera	1734	3
891	Sonatas and Interludes	John Cage	Piano Sonata	1948	3
892	Te Deum in C Major, WAB 45	Anton Bruckner	Choral orchestral	1881	3
893	Horn Concerto No. 2 in E-flat Major, TrV 283	Richard Strauss	Wind Concerto	1942	3
894	Miserere, Op. 44	Henryk Górecki	Chant	1981	3
895	Haugtussa (The Mountain Maid), Op. 67	Edvard Grieg	Lieder / Song	1895	3
896	Athalia, HWV 52	George Frideric Handel	Choral orchestral	1733	3
897	Skazki (Tales)	Nikolai Medtner	Piano Sonata	1928	3
898	Oboe Sonata, FP 185	Francis Poulenc	Unsorted Chamber	1962	3
899	Fragments of a Prayer	John Tavener	Voice and Orchestra	2006	3
900	Madrigals, Book 7 (Il Settimo Libro de Madrigali), SV 117–145	Claudio Monteverdi	Voice and Orchestra		3
901	Romance, Op. 26	Johan Svendsen	Violin Concerto	1881	3
902	The Battell	William Byrd	Unsorted Orchestral		3
903	Uirapuru	Heitor Villa-Lobos	Unsorted Orchestral	1917	3
904	Ballet d'Alcidiane, LWV 9	Jean-Baptiste Lully	Ballet	1658	3
905	Piano Sonata	Witold Lutosławski	Piano Sonata	1934	3
906	Toccata, Adagio and Fugue in C Major (Dorian), BWV 564	Johann Sebastian Bach	Organ	1727	3
907	The Mikado	Arthur Sullivan	Opera	1885	3
908	Symphony No. 3	Aaron Copland	Symphony	1946	3
909	Cello Sonata in G Minor, Op. 65	Frédéric Chopin	Cello Sonata	1846	3
910	La clemenza di Tito, K. 621	Wolfgang Amadeus Mozart	Opera	1791	3
911	Ionisation	Edgard Varèse	Unsorted Orchestral	1931	3
912	Manfred, Op. 115	Robert Schumann	Unsorted Orchestral	1848	3
913	Agon	Igor Stravinsky	Ballet	1957	3
914	12 Concerti a cinque	Tomaso Albinoni	Unsorted Orchestral	1722	3
915	Violin Sonata No. 3 in C Minor, Op. 45	Edvard Grieg	Violin Sonata	1887	3
916	Liederkreis, Op. 39	Robert Schumann	Lieder / Song	1840	3
917	Alexander Nevsky, Op. 78	Sergei Prokofiev	Unsorted Orchestral	1939	3
918	L'Histoire du Soldat (The Soldier's Tale)	Igor Stravinsky	Unsorted Orchestral	1918	3
919	From Me Flows What You Call Time	Toru Takemitsu	Unsorted Orchestral	1990	3
920	Sinfoniae Sacrae	Giovanni Gabrieli	Unsorted Orchestral		3
921	Tehillim	Steve Reich	Choral orchestral	1981	3
922	Symphonic Metamorphosis of Themes by Carl Maria von Weber	Paul Hindemith	Unsorted Orchestral	1943	3
923	The Seasons, Op. 67	Alexander Glazunov	Ballet	1899	3
924	Apollo (Apollon musagète)	Igor Stravinsky	Ballet	1928	3
925	Euryanthe	Carl Maria von Weber	Opera	1823	3
926	Gottes Zeit ist die allerbeste Zeit, BWV 106	Johann Sebastian Bach	Choral orchestral	1708	3
927	Violin Concerto in B Minor, Op. 61	Edward Elgar	Violin Concerto	1910	3
928	Die Seejungfrau	Alexander von Zemlinsky	Symphonic Poem	1903	3
929	Cello Concerto in A Minor, Op. 40	Gerald Finzi	Cello Concerto	1955	3
930	Impromptu-caprice, Op. 9	Gabriel Pierné	Unsorted Orchestral	1900	3
931	Rothko Chapel	Morton Feldman	Voice and Orchestra	1971	3
932	Fantasia Concertante on a Theme of Corelli	Michael Tippett	Unsorted Orchestral	1953	3
933	Alcina, HWV 34	George Frideric Handel	Opera	1735	3
934	St Paul's Suite (Suite in C), Op. 29 No. 2	Gustav Holst	Unsorted Orchestral	1912	3
935	Concerto for Orchestra	Witold Lutosławski	Unsorted Orchestral	1954	3
936	Waldszenen, Op. 82	Robert Schumann	Piano Sonata	1849	3
937	String Quartet No. 9 in C Major, Op. 59 No. 3	Ludwig van Beethoven	String Quartet	1808	3
938	Auf dem Wasser zu singen, D. 774	Franz Schubert	Lieder / Song	1823	3
939	Orpheus	Igor Stravinsky	Ballet	1947	3
940	Prelude (Toccata) and Fugue in E Major (Dorian), BWV 566	Johann Sebastian Bach	Organ	1708	3
941	Nocturne in F Minor (La Séparation)	Mikhail Glinka	Piano Sonata	1839	3
942	Guitar Concerto, W 501	Heitor Villa-Lobos	Unsorted Orchestral	1951	3
943	Symphony in Three Movements	Igor Stravinsky	Symphony	1945	3
944	Violin Sonata No. 26 in B-flat Major, K. 378 (K. 317d)	Wolfgang Amadeus Mozart	Violin Sonata	1779	3
945	The Turn of the Screw	Benjamin Britten	Opera	1954	3
946	Introduction and Allegro	Edward Elgar	Unsorted Orchestral	1905	3
947	Roman Carnival Overture (Le carnaval romain), H 95	Hector Berlioz	Unsorted Orchestral	1844	3
948	Variations on a Theme of Frank Bridge, Op. 10	Benjamin Britten	Unsorted Orchestral	1937	3
949	Piano Sonata No. 8, K. 310/300d	Wolfgang Amadeus Mozart	Piano Sonata	1778	3
950	Pour le piano, L. 95	Claude Debussy	Piano Sonata	1901	3
951	Norwegian Dances, Op. 35	Edvard Grieg	Unsorted Orchestral	1880	3
952	Nacht und Träume, D. 827	Franz Schubert	Lieder / Song	1825	3
953	The Rock, Op. 7	Sergei Rachmaninoff	Symphonic Poem	1893	3
954	Glagolitic Mass	Leoš Janáček	Mass / Requiem	1926	3
955	Violin Concerto	William Walton	Violin Concerto	1939	3
956	Dances of Galánta	Zoltán Kodály	Unsorted Orchestral	1933	3
957	Harpsichord conceto (Concerto for Harpsichord, Flute, Oboe, Clarinet, Violin and Cello)	Manuel de Falla	Harpsichord conceto	1926	3
958	3 Preludes and Fugues, Op. 16	Clara Schumann	Piano Sonata	1845	3
959	Symphony No. 3 (The Camp Meeting), S. 3 (K. 1A3)	Charles Ives	Symphony	1910	3
960	Capriccio, Op. 85	Richard Strauss	Opera	1942	3
961	Piano Sonata No. 3 in A Minor, Op. 28	Sergei Prokofiev	Piano Sonata	1917	3
962	Symphony No. 4 (Heroes)	Philip Glass	Symphony	1996	3
963	Symphony in E Major (Irish)	Arthur Sullivan	Symphony	1866	3
964	The Seven Last Words of Christ (Die sieben letzten Worte unseres Erlösers am Kreuze), Hob. XX/1a	Joseph Haydn	Choral orchestral		3
965	Symphony No. 2 in E Minor	Carl Loewe	Symphony	1832	3
966	Piano Concerto No. 2 in C Minor, Op. 50	Nikolai Medtner	Piano Concerto	1927	3
967	Piano Sonata No. 16 in A Minor, D. 845	Franz Schubert	Piano Sonata	1825	3
968	Piano Concerto in B-flat Minor, Op. 37	Kurt Atterberg	Piano Concerto	1935	3
969	String Quartet No. 8 in E Minor, Op. 59 No. 2	Ludwig van Beethoven	String Quartet	1808	3
970	Piano Concerto No. 1 in E Minor, Op. 5	Ernő Dohnányi	Piano Concerto	1898	3
971	Symphony No. 1 in F Minor, Op. 10	Dmitri Shostakovich	Symphony	1925	3
972	Pastorale d'été, H. 31	Arthur Honegger	Symphonic Poem	1920	3
973	Symphony No. 4 (Deliciæ Basiliensis)	Arthur Honegger	Symphony	1946	3
974	Serenade to Music	Ralph Vaughan Williams	Voice and Orchestra	1938	3
975	Piano Quartet No. 2 in A Major, Op. 26	Johannes Brahms	Piano Quartet	1861	3
976	Echoes of Ossian (Efterklange af Ossian), Op. 1	Niels Gade	Unsorted Orchestral	1840	3
977	Symphony No. 4, H. 305	Bohuslav Martinů	Symphony	1945	3
978	Catalogue d'oiseaux	Olivier Messiaen	Piano Sonata	1958	3
979	Atys, LWV 53	Jean-Baptiste Lully	Opera	1676	3
980	Dies Irae	Giovanni Legrenzi	Choral orchestral		3
981	Symphony No. 4 in C Minor, Op. 43	Dmitri Shostakovich	Symphony	1936	3
982	Piano Sonata No. 14 in A Minor, D. 784	Franz Schubert	Piano Sonata	1823	3
983	Symphony No. 3 in A Minor	Alexander Borodin	Symphony	1882	3
984	In Tempus Praesens	Sofia Gubaidulina	Violin Concerto	2007	3
985	String Quartet No. 2 (Company)	Philip Glass	String Quartet	1979	3
986	Cello Concerto in D Minor	Édouard Lalo	Cello Concerto	1876	3
987	Concerto for Two Pianos and Orchestra in D Minor, FP 61	Francis Poulenc	Double Concerto	1932	3
988	Violin Phase	Steve Reich	Unsorted Orchestral	1967	3
989	Káťa Kabanová	Leoš Janáček	Opera	1921	3
990	Il turco in Italia (The Turk in Italy)	Gioachino Rossini	Opera	1814	3
991	Piano Concerto No. 1 in D Major, Op. 17	Camille Saint-Saëns	Piano Concerto	1858	3
992	Piano Concerto No. 1 in F-sharp Minor, Op. 1	Mily Balakirev	Piano Concerto	1856	3
993	Symphony No. 3	Arnold Bax	Symphony	1929	3
994	Requiem in C Minor	Antonio Salieri	Mass / Requiem	1804	3
995	Piano Trio, Op. 50	Enrique Granados	Piano Trio	1895	3
996	Symphony No. 6 (Sinfonia Semplice), FS 116	Carl Nielsen	Symphony	1925	3
997	Symphony No. 2 in F Major (Cambridge)	Hubert Parry	Symphony	1883	3
998	Symphony No. 6 (Dollar Symphony), Op. 31	Kurt Atterberg	Symphony	1928	3
999	Cello Symphony, Op. 68	Benjamin Britten	Symphony	1963	3
1000	Symphony No. 22 in E-flat Major (The Philosopher), Hob. I/22	Joseph Haydn	Symphony	1764	3
1001	Symphony No. 3 in D Major, D. 200	Franz Schubert	Symphony	1815	3
1002	Piano Concerto No. 2 in B Major, Op. 100	Alexander Glazunov	Piano Concerto	1917	3
1003	Symphony No. 1 in C Minor, Op. 5	Niels Gade	Symphony	1842	3
1004	Aubade, FP 51	Francis Poulenc	Piano Concerto	1929	3
1005	Imperial March	Arthur Sullivan	Unsorted Orchestral	1893	3
1006	Sinfonia in D Minor, F. 65	Wilhelm Friedemann Bach	Symphony	1740	3
1007	Body Mandala	Jonathan Harvey	Unsorted Orchestral	2006	3
1008	Symphony No. 5, Op. 50, FS 97	Carl Nielsen	Symphony	1922	3
1009	Symphony No. 100 in G Major (Military Symphony), H. I/100	Joseph Haydn	Symphony	1794	3
1010	Sinfonietta	Leoš Janáček	Symphonic Poem	1926	3
1011	Roméo et Juliette, H 79	Hector Berlioz	Symphony	1839	3
1012	Symphony No. 6 in A Major, WAB 106	Anton Bruckner	Symphony	1881	3
1013	Symphony No. 3 in D Major (Polish Symphony), Op. 29	Pyotr Ilyich Tchaikovsky	Symphony	1875	3
1014	Symphony in C Major, WWV 29	Richard Wagner	Symphony	1832	3
1015	Elektra, Op. 58	Richard Strauss	Opera	1909	3
1016	Idyll for string orchestra	Leoš Janáček	Unsorted Orchestral	1878	3
1017	Novelletten, Op. 21	Robert Schumann	Piano Sonata	1838	3
1018	Gruppen	Karlheinz Stockhausen	Unsorted Orchestral	1957	2
1019	Don Carlos	Giuseppe Verdi	Opera	1867	2
1020	Cantique de Jean Racine, Op. 11	Gabriel Fauré	Choral orchestral	1865	2
1021	Fantasie in C Major, Op. 17	Robert Schumann	Piano Sonata	1836	2
1022	Piano Quartet No. 1 in G Minor, K. 478	Wolfgang Amadeus Mozart	Piano Quartet	1785	2
1023	Piano Quartet No. 3 in C Minor (Werther Quartet), Op. 60	Johannes Brahms	Piano Quartet	1875	2
1024	Horn Trio in E-flat Major, Op. 40	Johannes Brahms	Piano Trio	1865	2
1025	Lucia di Lammermoor	Gaetano Donizetti	Opera	1835	2
1026	Violin Sonata No. 10 in G Major, Op. 96	Ludwig van Beethoven	Violin Sonata	1812	2
1027	Harpsichord conceto No. 4 in A Major, BWV 1055	Johann Sebastian Bach	Harpsichord conceto	1738	2
1028	Romantic Pieces, 75, B. 150	Antonín Dvořák	Violin Sonata	1887	2
1029	24 Preludes and Fugues, Op. 87	Dmitri Shostakovich	Piano Sonata	1951	2
1030	Cello Sonata No. 4 in C Major, Op. 101 No. 1	Ludwig van Beethoven	Cello Sonata	1815	2
1031	The Firste Booke of Songes	John Dowland	Lieder / Song		2
1032	Miserere mei Deus	Josquin des Prez	Chant	1504	2
1033	Violin Sonata No. 1 in G Major, Op. 78	Johannes Brahms	Violin Sonata	1879	2
1034	Viola Concerto	William Walton	Viola Concerto	1929	2
1035	Clarinet Sonata, FP 184	Francis Poulenc	Clarinet Sonata	1962	2
1036	Visions de l'Amen	Olivier Messiaen	Piano duet / Piano four hands	1943	2
1037	Violin Sonata No. 1, Sz. 75	Béla Bartók	Violin Sonata	1921	2
1038	Piano Quartet No. 2 in E-flat Major, K. 493	Wolfgang Amadeus Mozart	Piano Quartet	1786	2
1039	String Quartet No. 2 (Intimate Letters)	Leoš Janáček	String Quartet	1928	2
1040	Kreisleriana, Op. 16	Robert Schumann	Piano Sonata	1838	2
1041	Triple Concerto in A Minor (Concerto for Flute, Violin and Harpsichord), BWV 1044	Johann Sebastian Bach	Triple Concerto	1740	2
1042	Ave Maria, WAB 6	Anton Bruckner	Chant	1861	2
1043	Requiem (Grande Messe des morts), H 75	Hector Berlioz	Mass / Requiem	1837	2
1044	Clarinet Concerto No. 1, Op. 73, J. 114	Carl Maria von Weber	Wind Concerto	1811	2
1045	The Fairy Queen, Z. 629	Henry Purcell	Opera	1692	2
1046	Membra Jesu Nostri, BuxWV 75	Dieterich Buxtehude	Choral orchestral	1680	2
1047	Missa Pange Lingua	Josquin des Prez	Mass / Requiem		2
1048	Fortuna Desperata	Martin Agricola	Chant		2
1049	Violin Sonata No. 2 in A Major, Op. 100	Johannes Brahms	Violin Sonata	1886	2
1050	Cello Sonata No. 2 in G Minor, Op. 5 No. 2	Ludwig van Beethoven	Cello Sonata	1796	2
1051	Violin Sonata No. 33 in E-flat Major, K. 481	Wolfgang Amadeus Mozart	Violin Sonata	1785	2
1052	Four Pieces for Violin and Piano, Op. 7	Anton Webern	Violin Sonata	1914	2
1053	Ein Heldenleben (A Hero's Life), Op. 40	Richard Strauss	Symphonic Poem	1898	2
1054	Jeux, L. 126	Claude Debussy	Unsorted Orchestral	1913	2
1055	Jesu, der du meine Seele, BWV 78	Johann Sebastian Bach	Choral orchestral	1724	2
1056	Easter Oratorio (Oster-Oratorium), BWV 249	Johann Sebastian Bach	Choral orchestral	1725	2
1057	Cello Concerto in A Minor, H. 432	Carl Philipp Emanuel Bach	Cello Concerto	1750	2
1058	Stabat Mater, Op. 58, B. 71	Antonín Dvořák	Choral orchestral	1877	2
1059	String Quintet in C Major, Op. 29	Ludwig van Beethoven	String Quintet	1801	2
1060	Piano Trio in D Minor, Op. 120	Gabriel Fauré	Piano Trio	1923	2
1061	Miserere	Carlo Gesualdo	Chant		2
1062	Organ Sonatas, Op. 65	Felix Mendelssohn	Organ	1845	2
1063	Singet dem Herrn ein neues Lied (Sing unto the Lord a new song), BWV 225	Johann Sebastian Bach	Choral orchestral	1727	2
1064	Songs and Dances of Death	Modest Mussorgsky	Lieder / Song	1875	2
1065	Wind Quintet, Op. 43	Carl Nielsen	Unsorted Chamber	1922	2
1066	Le marteau sans maître	Pierre Boulez	Voice and Orchestra	1954	2
1067	Die Himmel erzählen die Ehre Gottes, SWV 386	Heinrich Schütz	Choral orchestral	1648	2
1068	Mass for Five Voices	William Byrd	Mass / Requiem		2
1069	Jesu, meines Lebens Leben, BuxWV 62	Dieterich Buxtehude	Choral orchestral		2
1070	Phantasy for Violin and Piano, Op. 47	Arnold Schoenberg	Violin Sonata	1949	2
1071	Piano Trio No. 3 in F Major, Op. 65	Antonín Dvořák	Piano Trio	1883	2
1072	Symphony No. 6 in E-flat Minor, Op. 23	Nikolai Myaskovsky	Symphony	1923	2
1073	Voces intimae, Op. 56	Jean Sibelius	String Quartet	1909	2
1074	String Quartet No. 11 in F Minor, Op. 95	Ludwig van Beethoven	String Quartet	1810	2
1075	String Quartet No. 1 (Kreutzer Sonata)	Leoš Janáček	String Quartet	1923	2
1076	String Quartet No. 17 in B-flat Major (The Hunt), K. 458	Wolfgang Amadeus Mozart	String Quartet	1784	2
1077	String Quartet in B Minor	Samuel Barber	String Quartet	1936	2
