rank	title	composer	category	year	stars
2373	Messe de la Pentecôte	Olivier Messiaen	Organ	1950	0
2374	Commotio, Op. 58	Carl Nielsen	Organ	1931	0
2375	Lamentate	Arvo Pärt	Piano Concerto	2002	0
2376	Aion	Giacinto Scelsi	Unsorted Orchestral	1961	0
2377	Gmeeoorh	Iannis Xenakis	Organ	1974	0
2378	Kottos	Iannis Xenakis	String solo	1977	0
2379	Nuits	Iannis Xenakis	Chant	1967	0
2380	Pithoprakta	Iannis Xenakis	Unsorted Orchestral	1956	0
2381	Old Polish Suite	Andrzej Panufnik	Unsorted Orchestral	1950	0
2382	Symphony No. 3 in F Minor (The Irish), Op. 28	Charles Villiers Stanford	Symphony	1867	0
2383	Piano Concerto (Symphonic Tale), Op. 43b	Peter Benoit	Piano Concerto	1865	0
2384	Son of Chamber Symphony	John Adams	Unsorted Orchestral	2007	0
2385	Violin Concerto No. 2 in C Minor, Op. 43	Ernő Dohnányi	Violin Concerto	1950	0
2386	Simple Symphony, Op. 4	Benjamin Britten	Symphony	1934	0
2387	Symphony No. 2 in E Major, Op. 10	Niels Gade	Symphony	1843	0
2388	L'ancienne Maison de Campagne, Op. 124	Charles Koechlin	Piano Sonata		0
2389	Arbos	Arvo Pärt	Unsorted Orchestral	1986	0
2390	Oresteia	Iannis Xenakis	Opera	1966	0
2391	Symphony No. 3 in C Major (The English)	Hubert Parry	Symphony	1889	0
2392	Concerto for 2 Corni da caccia in F Major	Johann Friedrich Fasch	Unsorted Orchestral		0
2393	Symphony No. 103 in E-flat Major (The Drumroll), H. 1/103	Joseph Haydn	Symphony	1795	0
2394	Asrael Symphony, Op. 27	Josef Suk	Symphony	1906	0
2395	Symphony No. 1 in B-flat Minor	William Walton	Symphony	1935	0
2396	Symphony No. 2 in E-flat Major, Op. 63	Edward Elgar	Symphony	1911	0
2397	Symphony No. 28 in C Major, K. 200/189k	Wolfgang Amadeus Mozart	Symphony	1774	0
2398	Symphony No. 7 in C-sharp Minor, Op. 131	Sergei Prokofiev	Symphony	1952	0
2399	Symphony No. 1 in D Minor (The Gothic)	Havergal Brian	Symphony	1927	0
2400	Five Movements for String Quartet, Op. 5	Anton Webern	String Quartet	1909	0
2401	String Quartet No. 2 in C Major, Op. 36	Benjamin Britten	String Quartet	1945	0
2402	String Quartet No. 1 (From the Salvation Army)	Charles Ives	String Quartet	1902	0
2403	String Quartet in E Minor, Op. 83	Edward Elgar	String Quartet	1918	0
2404	Piano Concerto No. 2 in D Minor, Op. 40	Felix Mendelssohn	Piano Concerto	1837	0
2405	Arabella, Op. 79	Richard Strauss	Opera	1932	0
2406	A Village Romeo and Juliet	Frederick Delius	Opera	1901	0
2407	Two Pictures, Op. 10	Béla Bartók	Unsorted Orchestral	1910	0
2408	Sieben frühe Lieder (Seven Early Songs)	Alban Berg	Lieder / Song	1908	0
2409	String Quartet No. 1 in B Minor	Ernest Bloch	String Quartet	1916	0
2410	Eventyr (Once Upon a Time)	Frederick Delius	Symphonic Poem	1917	0
2411	Cantata No. 2, Op. 31	Anton Webern	Voice and Orchestra	1943	0
2412	Symphony No. 6 (Vincentiana)	Einojuhani Rautavaara	Symphony	1987	0
2413	Macchina Tipografica	Luigi Russolo	Voice and Orchestra		0
2414	Sextet	Steve Reich	Sextet	1985	0
2415	Violin Concerto in D Minor, BeRI 49	Johan Helmich Roman	Violin Concerto		0
